CustomerID,Recency,Frequency,Monetary,TotalItems,UniqueProducts,AverageOrderValue,CustomerLifetime,AverageDaysBetweenPurchases,Churn,ChurnProbability,ChurnPrediction,RiskLevel,PurchaseFrequencyPerYear,EstimatedCLV,ValueLevel,RiskValueSegment,RecommendedAction
12346.0,235,1,77183.6,74215,1,77183.6,0,0.0,1,0.9999999634837071,1,HIGH,1.0,77183.6,High Value,Priority Retain,Priority retention offer
12347.0,39,5,2790.86,1590,82,558.172,237,59.0,0,0.17843597821327664,0,LOW,7.70042194092827,4298.1599156118145,High Value,VIP Loyal,Loyalty program
12348.0,158,3,1487.24,2124,22,495.74666666666667,109,54.0,0,0.5652541949555738,1,MEDIUM,10.045871559633028,4980.207339449542,High Value,Priority Retain,Priority retention offer
12350.0,219,1,334.4,197,17,334.4,0,0.0,1,0.7394769186442527,1,HIGH,1.0,334.4,Low Value,Automated Campaign,Low-cost automated campaign
12352.0,171,5,1561.81,254,26,312.36199999999997,34,8.0,0,0.518771581324855,1,MEDIUM,53.67647058823529,16766.489705882348,High Value,Priority Retain,Priority retention offer
12353.0,113,1,89.0,20,4,89.0,0,0.0,1,0.672518972600142,1,MEDIUM,1.0,89.0,Low Value,Automated Campaign,Low-cost automated campaign
12354.0,141,1,1079.4,530,58,1079.4,0,0.0,1,0.6354906618686954,1,MEDIUM,1.0,1079.4,Low Value,Automated Campaign,Low-cost automated campaign
12355.0,123,1,459.4,240,13,459.4,0,0.0,1,0.6802479344422698,1,MEDIUM,1.0,459.4,Low Value,Automated Campaign,Low-cost automated campaign
12356.0,155,2,2753.08,1586,53,1376.54,80,80.0,0,0.615254384274437,1,MEDIUM,9.125,12560.9275,High Value,Priority Retain,Priority retention offer
12358.0,60,1,484.86,100,12,484.86,0,0.0,0,0.632036586048809,1,MEDIUM,1.0,484.86,Low Value,Automated Campaign,Low-cost automated campaign
12359.0,99,3,3495.73,965,135,1165.2433333333333,141,70.0,0,0.2681986028317112,0,LOW,7.76595744680851,9049.230141843971,High Value,VIP Loyal,Loyalty program
12360.0,22,2,1618.28,674,63,809.14,88,88.0,0,0.4643591211051496,1,MEDIUM,8.295454545454545,6712.184090909091,High Value,Priority Retain,Priority retention offer
12361.0,196,1,189.9,91,10,189.9,0,0.0,1,0.7292352368317012,1,HIGH,1.0,189.9,Low Value,Automated Campaign,Low-cost automated campaign
12362.0,29,4,1747.35,988,89,436.8375,175,58.0,0,0.23403725854900415,0,LOW,8.342857142857143,3644.4728571428573,High Value,VIP Loyal,Loyalty program
12363.0,19,2,552.0,408,23,276.0,132,132.0,1,0.5443473801187905,1,MEDIUM,5.53030303030303,1526.3636363636363,High Value,Priority Retain,Priority retention offer
12364.0,21,1,623.92,555,34,623.92,0,0.0,0,0.5572543262672869,1,MEDIUM,1.0,623.92,Low Value,Automated Campaign,Low-cost automated campaign
12365.0,200,2,641.38,174,22,320.69,0,0.0,1,0.684065253526075,1,MEDIUM,2.0,641.38,Low Value,Automated Campaign,Low-cost automated campaign
12370.0,184,3,2802.66,1972,125,934.2199999999999,85,42.0,0,0.37245800119224887,0,LOW,12.882352941176471,12034.951764705882,High Value,VIP Loyal,Loyalty program
12372.0,122,2,914.9200000000001,592,32,457.46000000000004,83,83.0,0,0.6128720169578143,1,MEDIUM,8.795180722891565,4023.4433734939757,High Value,Priority Retain,Priority retention offer
12373.0,220,1,364.6,197,14,364.6,0,0.0,1,0.7464735184936796,1,HIGH,1.0,364.6,Low Value,Automated Campaign,Low-cost automated campaign
12375.0,7,1,230.3,87,11,230.3,0,0.0,0,0.5747274208880874,1,MEDIUM,1.0,230.3,Low Value,Automated Campaign,Low-cost automated campaign
12377.0,224,2,1628.12,944,72,814.06,39,39.0,1,0.6182573783588672,1,MEDIUM,18.717948717948715,15237.533333333331,High Value,Priority Retain,Priority retention offer
12378.0,39,1,4008.62,2529,219,4008.62,0,0.0,1,0.34985417519123757,0,LOW,1.0,4008.62,High Value,VIP Loyal,Loyalty program
12379.0,79,1,459.84,211,20,459.84,0,0.0,0,0.6302146265439844,1,MEDIUM,1.0,459.84,Low Value,Automated Campaign,Low-cost automated campaign
12380.0,95,1,607.5500000000001,293,36,607.5500000000001,0,0.0,0,0.6181735084567954,1,MEDIUM,1.0,607.5500000000001,Low Value,Automated Campaign,Low-cost automated campaign
12381.0,29,1,1268.74,568,62,1268.74,0,0.0,0,0.5381051392734705,1,MEDIUM,1.0,1268.74,Low Value,Automated Campaign,Low-cost automated campaign
12383.0,94,5,1850.56,1532,84,370.11199999999997,167,41.0,1,0.2486221724166122,0,LOW,10.92814371257485,4044.637125748502,High Value,VIP Loyal,Loyalty program
12384.0,31,1,292.69,62,14,292.69,0,0.0,0,0.5929475685009886,1,MEDIUM,1.0,292.69,Low Value,Automated Campaign,Low-cost automated campaign
12386.0,247,2,401.9,354,10,200.95,29,29.0,1,0.741570958687721,1,HIGH,25.172413793103445,5058.396551724137,High Value,Priority Retain,Priority retention offer
